medicine_id,scientificname,medicinename,dosage,price,type
1,Atorvastatin,Lipitor,300mg,1100,tablet
2,,Viabca,50mg,1500,tablet
3,Fluoxetine,Prozac,1mg,1400,tablet
4,Celecoxib,Celebrex,500ml,600,syrup
5,Esomeprazole,Nexium,100mg,1000,tablet
6,Sertraline,Zoloft,200mg,1300,tablet
7,Methylphenidate,Ritalin,1mg,500,tablet
8,Rosuvastatin,Crestor,300mg,1300,tablet
9,Aripiprazole,Abilify,50ml,1200,syrup
10,Zolpidem,Ambien,200mg,400,tablet
11,Adalimumab,Humira,100mg,1000,tablet
12,Pregabalin,Lyrica,500mg,900,tablet
13,Fluticasone/Salmeterol,Advair,200mg,300,tablet
14,Alprazolam,Xanax,1mg,1100,tablet
15,Clopidogrel,Plavix,300mg,600,tablet
16,Oxycodone,OxyContin,100mg,900,tablet
17,Amphetamine/Dextroamphetamine,Adderall,500mg,1500,tablet
18,Venlafaxine,Effexor,50mg,500,tablet
19,Vardenafil,Levitra,100mg,800,tablet
20,Paroxetine,Paxil,200mg,1000,tablet
21,Omeprazole,Prilosec,1mg,1400,tablet
22,Quetiapine,Seroquel,500mg,900,tablet
23,Insulin glargine,Lantus,50mg,1300,tablet
24,Lisdexamfetamine,Vyvanse,300mg,1200,tablet
25,Sitagliptin,Januvia,500mg,1400,tablet
26,Duloxetine,Cymbalta,200mg,600,tablet
27,Infliximab,Remicade,100ml,1000,syrup
28,Etanercept,Enbrel,50mg,1300,tablet
29,Simvastatin,Zocor,300mg,800,tablet
30,Topiramate,Topamax,1mg,1000,tablet
